,jid,spg_number,spg_symbol,formula,formation_energy_peratom,func,optb88vdw_bandgap
20242,JVASP-107296,6,Pm,PrBrCl2,-2.29922,OptB88vdW,3.932
20243,JVASP-105132,225,Fm-3m,Ca2PbAu,-0.76095,OptB88vdW,0
20244,JVASP-105289,189,P-62m,PrCdAu,-0.70447,OptB88vdW,0
20245,JVASP-107344,123,P4/mmm,DyErTe2,-1.28325,OptB88vdW,0
20246,JVASP-107136,225,Fm-3m,Na2HgPdF6,-1.76201,OptB88vdW,0
20247,JVASP-102728,129,P4/nmm,LaGe2PdRh,-0.89236,OptB88vdW,0
20248,JVASP-107183,225,Fm-3m,Li2TlCd,-0.30668,OptB88vdW,0
20249,JVASP-107397,225,Fm-3m,KNa2RuF6,-2.29497,OptB88vdW,0
20250,JVASP-16216,194,P6_3/mmc,AlCr2C,-0.19861,OptB88vdW,0
20251,JVASP-2487,129,P4/nmm,NaMgAs,-0.70977,OptB88vdW,1.157
20252,JVASP-106621,221,Pm-3m,Y3Ga,-0.27844,OptB88vdW,0
20253,JVASP-18509,71,Immm,Ag8S,0.15629,OptB88vdW,0
20254,JVASP-14279,139,I4/mmm,Mn3N2,-0.24683,OptB88vdW,0
20255,JVASP-102580,166,R-3m,Xe,-0.02384,OptB88vdW,6.07
20256,JVASP-105088,149,P312,KCuIO6,-0.64619,OptB88vdW,0
20257,JVASP-42210,82,I-4,Tb5O9,-3.268,OptB88vdW,0
20258,JVASP-104967,164,P-3m1,CeU2O6,-3.68258,OptB88vdW,0
20259,JVASP-49759,167,R-3c,BaNdO3,-2.81873,OptB88vdW,0
20260,JVASP-107633,225,Fm-3m,Rb2TlAsF6,-2.4329,OptB88vdW,2.682
20261,JVASP-101828,6,Pm,H2C4S2O,-0.02419,OptB88vdW,0.477
20262,JVASP-16913,194,P6_3/mmc,SbO2,0.29754,OptB88vdW,0
20263,JVASP-21559,62,Pnma,SrSO4,-2.35735,OptB88vdW,6.523
20264,JVASP-107459,225,Fm-3m,LiLuIn2,-0.39648,OptB88vdW,0
20265,JVASP-104919,65,Cmmm,ThAl2Co3,-0.45398,OptB88vdW,0
20266,JVASP-19884,123,P4/mmm,ZnPt,-0.5543,OptB88vdW,0
20267,JVASP-104804,225,Fm-3m,K2TlAuF6,-1.99489,OptB88vdW,0
20268,JVASP-101882,1,P1,SnH4C3O6,-0.9278,OptB88vdW,3.22
20269,JVASP-18640,191,P6/mmm,TlBi2,-0.01852,OptB88vdW,0
20270,JVASP-22606,148,R-3,MnSnF6,-2.25009,OptB88vdW,0
20271,JVASP-32151,6,Pm,H6PbCNCl3,-0.58891,OptB88vdW,2.738
20272,JVASP-2250,113,P-42_1m,TbAgTe2,-0.93079,OptB88vdW,0.869
20273,JVASP-105227,194,P6_3/mmc,Pa,-0.09086,OptB88vdW,0
20274,JVASP-106562,139,I4/mmm,MgPd3,-0.50721,OptB88vdW,0
20275,JVASP-15070,221,Pm-3m,InTe,-0.10476,OptB88vdW,0
20276,JVASP-104120,1,P1,H6C11S2O,0.05383,OptB88vdW,1.496
20277,JVASP-106964,225,Fm-3m,LiScIn2,-0.40113,OptB88vdW,0
20278,JVASP-14688,62,Pnma,SiPd,-0.45199,OptB88vdW,0
20279,JVASP-107569,156,P3m1,CeZnAgP2,-0.6904,OptB88vdW,0.005
20280,JVASP-106742,164,P-3m1,Sn2PdAu,-0.3472,OptB88vdW,0
20281,JVASP-106686,115,P-4m2,ZnHgTe2,-0.20174,OptB88vdW,0
20282,JVASP-104008,1,P1,SnH12C6F2,-0.38634,OptB88vdW,4.476
20283,JVASP-107238,225,Fm-3m,Yb2ZnGe,-0.68197,OptB88vdW,0
20284,JVASP-103817,1,P1,H3C2NO2,-0.306,OptB88vdW,4.086
20285,JVASP-104642,12,C2/m,Ho2CoSi2,-0.76009,OptB88vdW,0
20286,JVASP-52906,19,P2_12_12_1,ZnH2O2,-1.22906,OptB88vdW,3.152
20287,JVASP-105444,115,P-4m2,Mn3CoAs2,-0.09613,OptB88vdW,0
20288,JVASP-104553,225,Fm-3m,AlGaNi2,-0.50797,OptB88vdW,0
20289,JVASP-15470,194,P6_3/mmc,Hf2SnC,-0.79886,OptB88vdW,0
20290,JVASP-50207,136,P4_2/mnm,Dy2TeO6,-2.66399,OptB88vdW,2.686
20291,JVASP-102529,225,Fm-3m,Mg2IrRh,-0.45522,OptB88vdW,0
20292,JVASP-16008,221,Pm-3m,TaSnO3,-2.15832,OptB88vdW,0
20293,JVASP-16136,129,P4/nmm,ZrSnTe,-0.6982,OptB88vdW,0
20294,JVASP-58244,139,I4/mmm,Ba2CuTeO6,-1.93983,OptB88vdW,0
20295,JVASP-103750,87,I4/m,LiNi4O5,-1.02859,OptB88vdW,0
20296,JVASP-106478,57,Pbcm,NaO,-0.90846,OptB88vdW,0
20297,JVASP-19079,167,R-3c,NaBO2,-2.4312,OptB88vdW,4.487
20298,JVASP-104750,12,C2/m,CeGePd,-0.85963,OptB88vdW,0
20299,JVASP-103700,12,C2/m,MnCr3Te4,0.00748,OptB88vdW,0
20300,JVASP-106793,166,R-3m,La2MgAl3,-0.47119,OptB88vdW,0
20301,JVASP-1657,166,R-3m,RbNdS2,-1.99887,OptB88vdW,2.252
20302,JVASP-14735,225,Fm-3m,SnP,-0.0332,OptB88vdW,0
20303,JVASP-102470,225,Fm-3m,DyErCd2,-0.34972,OptB88vdW,0
20304,JVASP-105089,139,I4/mmm,Ba2CuS2Cl2,-1.68442,OptB88vdW,0
20305,JVASP-102785,24,I2_12_12_1,CdAsP,-0.0682,OptB88vdW,0.364
20306,JVASP-101922,1,P1,ZnH14C9O4,-0.41288,OptB88vdW,4.618
20307,JVASP-13324,122,I-42d,Pr2UTe4,-1.17752,OptB88vdW,0
20308,JVASP-102839,5,C2,NaV3O6,-2.37578,OptB88vdW,0
20309,JVASP-107460,225,Fm-3m,LiPm2Pb,-0.34213,OptB88vdW,0
20310,JVASP-102672,107,I4mm,SrZnIn3,-0.35038,OptB88vdW,0
20311,JVASP-4213,63,Cmcm,CaSn,-0.72991,OptB88vdW,0
20312,JVASP-18602,189,P-62m,ErInAu,-0.75815,OptB88vdW,0
20313,JVASP-106910,225,Fm-3m,K2HgBiF6,-2.24725,OptB88vdW,0
20314,JVASP-105133,221,Pm-3m,Cd3Ni,0.06519,OptB88vdW,0
20315,JVASP-104694,123,P4/mmm,SnSb,0.0258,OptB88vdW,0
20316,JVASP-18957,139,I4/mmm,Ti2Cu,-0.1292,OptB88vdW,0
20317,JVASP-107347,139,I4/mmm,Cu4Br3Cl,-0.2013,OptB88vdW,0.125
20318,JVASP-102627,187,P-6m2,CaAgSn,-0.58668,OptB88vdW,0
20319,JVASP-107634,139,I4/mmm,Ba2CuS2Cl2,-1.87134,OptB88vdW,0
20320,JVASP-105290,189,P-62m,Er3Al3CoGe2,-0.77902,OptB88vdW,0
20321,JVASP-105519,8,Cm,Er2Ga3Ni,-0.67025,OptB88vdW,0
20322,JVASP-101829,1,P1,H2C3SO2,-0.27559,OptB88vdW,1.044
20323,JVASP-1513,216,F-43m,TiCoSb,-0.65412,OptB88vdW,1.071
20324,JVASP-107137,225,Fm-3m,K2NaRuF6,-2.56834,OptB88vdW,0
20325,JVASP-104968,74,Imma,CeMnAl,-0.25979,OptB88vdW,0
20326,JVASP-4143,15,C2/c,KBiO2,-1.54377,OptB88vdW,2.002
20327,JVASP-104158,1,P1,H4C6SO2,-0.17999,OptB88vdW,3.112
20328,JVASP-42893,225,Fm-3m,Er2ZnOs,-0.42279,OptB88vdW,0
20329,JVASP-76236,216,F-43m,Er4InIr,-0.64364,OptB88vdW,0
20330,JVASP-107685,225,Fm-3m,Pm2AgAu,-0.60002,OptB88vdW,0
20331,JVASP-105228,221,Pm-3m,Pa3Cd,0.08277,OptB88vdW,0
20332,JVASP-104921,38,Amm2,TePb3Br2O4,-1.26667,OptB88vdW,1.898
20333,JVASP-104590,225,Fm-3m,LiMgCd2,-0.24222,OptB88vdW,0
20334,JVASP-58075,44,Imm2,Y2MgMn2S2O5,-2.37049,OptB88vdW,0
20335,JVASP-15036,225,Fm-3m,PaO,-2.63767,OptB88vdW,0
20336,JVASP-106852,82,I-4,AlInCu2Se4,-0.56277,OptB88vdW,0.192
20337,JVASP-106563,225,Fm-3m,MgScZn2,-0.36093,OptB88vdW,0
20338,JVASP-101883,1,P1,SnH8C5O6,-0.70692,OptB88vdW,3.956
20339,JVASP-104805,225,Fm-3m,K2NaAuF6,-2.2319,OptB88vdW,0.565
20340,JVASP-107398,225,Fm-3m,Na2YAgF6,-2.85549,OptB88vdW,1.468
20341,JVASP-15217,191,P6/mmm,CeGa3Pd2,-0.67896,OptB88vdW,0
20342,JVASP-106794,216,F-43m,KNbCl6,-1.49621,OptB88vdW,1.923
20343,JVASP-106514,194,P6_3/mmc,Cu3Ru,0.27107,OptB88vdW,0
20344,JVASP-105092,123,P4/mmm,CuCl2,-0.30431,OptB88vdW,0
20345,JVASP-18462,129,P4/nmm,UIN,-1.44073,OptB88vdW,0
20346,JVASP-186,12,C2/m,CrO2,-1.89099,OptB88vdW,0
20347,JVASP-107510,12,C2/m,TmAlGa,-0.57197,OptB88vdW,0
20348,JVASP-18529,225,Fm-3m,Tl2MoCl6,-1.03728,OptB88vdW,0
20349,JVASP-107636,123,P4/mmm,Na2CuI2Cl2,-1.0332,OptB88vdW,0
20350,JVASP-107184,221,Pm-3m,KPb3,-0.13074,OptB88vdW,0
20351,JVASP-4633,148,R-3,CdPS3,-0.45244,OptB88vdW,1.808
20352,JVASP-13329,227,Fd-3m,Al2CoO4,-2.59261,OptB88vdW,0.743
20353,JVASP-15723,194,P6_3/mmc,CePPd,-1.20856,OptB88vdW,0
20354,JVASP-107070,4,P2_1,Co2SiGe,-0.32128,OptB88vdW,0
20355,JVASP-42484,227,Fd-3m,NaCr2O4,-2.06223,OptB88vdW,0
20356,JVASP-18881,225,Fm-3m,BiO2,-1.04917,OptB88vdW,0
20357,JVASP-107570,216,F-43m,CePrAl4,-0.496,OptB88vdW,0
20358,JVASP-12181,14,P2_1/c,As2Se3,-0.10616,OptB88vdW,1.136
20359,JVASP-2700,129,P4/nmm,ThSeO,-3.12254,OptB88vdW,0.969
20360,JVASP-15521,139,I4/mmm,YCo2Si2,-0.80617,OptB88vdW,0
20361,JVASP-3033,63,Cmcm,RbAuSe,-0.78399,OptB88vdW,1.966
20362,JVASP-101961,1,P1,CdH14C9O4,-0.39031,OptB88vdW,3.88
20363,JVASP-102673,65,Cmmm,TaV,0.07273,OptB88vdW,0
20364,JVASP-18676,216,F-43m,DyCu5,-0.21605,OptB88vdW,0
20365,JVASP-19840,225,Fm-3m,NpTe,-0.71696,OptB88vdW,0
20366,JVASP-106745,187,P-6m2,SmCo4Cu,-0.11012,OptB88vdW,0
20367,JVASP-13732,141,I4_1/amd,YGe2,-0.54964,OptB88vdW,0
20368,JVASP-106687,166,R-3m,YbErSe2,-2.00096,OptB88vdW,0
20369,JVASP-103944,1,P1,ZrH6C5O4,-0.57253,OptB88vdW,1.446
20370,JVASP-15975,139,I4/mmm,BaMg2Si2,-0.39608,OptB88vdW,0
20371,JVASP-51894,62,Pnma,FeBiO3,-1.35554,OptB88vdW,0
20372,JVASP-12984,13,P2/c,NaErCl4,-2.21856,OptB88vdW,4.891
20373,JVASP-103752,10,P2/m,MnTeO4,-1.33923,OptB88vdW,0
20374,JVASP-106405,225,Fm-3m,Rb2CuAuF6,-2.04139,OptB88vdW,0
20375,JVASP-102729,65,Cmmm,LaAlCu4,-0.32994,OptB88vdW,0
20376,JVASP-14060,127,P4/mbm,Yb2CdPd2,-0.84677,OptB88vdW,0
20377,JVASP-51202,225,Fm-3m,InHgW2,0.88844,OptB88vdW,0
20378,JVASP-104645,225,Fm-3m,Ba2AgIO6,-1.65178,OptB88vdW,0
20379,JVASP-107399,225,Fm-3m,K2NaErCl6,-2.18217,OptB88vdW,4.846
20380,JVASP-106920,225,Fm-3m,Na3YI6,-1.21091,OptB88vdW,2.29
20381,JVASP-105446,47,Pmmm,Mn4Hg3Au,0.4307,OptB88vdW,0
20382,JVASP-104969,44,Imm2,Cd4Te5Pb,-0.3527,OptB88vdW,1.139
20383,JVASP-104752,216,F-43m,CeUFe4,-0.10589,OptB88vdW,0
20384,JVASP-49902,166,R-3m,Li2Ti3BiO8,-2.66096,OptB88vdW,0
20385,JVASP-106622,194,P6_3/mmc,Y3Sb,-0.48721,OptB88vdW,0
20386,JVASP-15218,122,I-42d,FeCuS2,-0.33867,OptB88vdW,0
20387,JVASP-15770,191,P6/mmm,NdAl3Ni2,-0.63525,OptB88vdW,0
20388,JVASP-21236,62,Pnma,CaCO3,-2.40366,OptB88vdW,4.24
20389,JVASP-15672,139,I4/mmm,NdNi2B2C,-0.50098,OptB88vdW,0
20390,JVASP-19080,62,Pnma,Cd2GeO4,-1.4821,OptB88vdW,1.18
20391,JVASP-104121,6,Pm,H4C7S,0.19591,OptB88vdW,0.919
20392,JVASP-106853,121,I-42m,Ag2HgI4,-0.2074,OptB88vdW,0.9
20393,JVASP-106481,221,Pm-3m,AcNiO3,-2.41043,OptB88vdW,0
20394,JVASP-107298,25,Pmm2,Ni6SnSb,-0.14562,OptB88vdW,0
20395,JVASP-14689,194,P6_3/mmc,Pr,0,OptB88vdW,0
20396,JVASP-50969,44,Imm2,Ta2CuO6,-2.44046,OptB88vdW,0.279
20397,JVASP-104858,225,Fm-3m,LiScRh2,-0.66971,OptB88vdW,0
20398,JVASP-102786,71,Immm,Ce2PrO6,-3.40546,OptB88vdW,0
20399,JVASP-51162,216,F-43m,SrMn2Si,0.58831,OptB88vdW,0
20400,JVASP-103701,166,R-3m,Mn2GaCu3,0.14317,OptB88vdW,0
20401,JVASP-29032,156,P3m1,TeMoWS3,-0.65247,OptB88vdW,0.098
20402,JVASP-105529,156,P3m1,CeZnAgAs2,-0.62544,OptB88vdW,0
20403,JVASP-106516,221,Pm-3m,Dy3Er,0.0104,OptB88vdW,0
20404,JVASP-105230,225,Fm-3m,Pm2CuNi,-0.28964,OptB88vdW,0
20405,JVASP-102840,64,Cmce,MnF4,-2.28572,OptB88vdW,0.049
20406,JVASP-107571,166,R-3m,CeU4N5,-1.58717,OptB88vdW,0
20407,JVASP-16914,122,I-42d,MnS2,-0.35069,OptB88vdW,0
20408,JVASP-104808,225,Fm-3m,K2CeAgBr6,-1.52635,OptB88vdW,0.2
20409,JVASP-104160,1,P1,H2C3O3,-0.65203,OptB88vdW,4.046
20410,JVASP-48544,65,Cmmm,Li2VF4,-2.82485,OptB88vdW,1.493
20411,JVASP-107138,225,Fm-3m,Rb2NaIrF6,-2.49109,OptB88vdW,2.234
20412,JVASP-49762,139,I4/mmm,Sr2CuO4,-2.04651,OptB88vdW,0
20413,JVASP-2253,164,P-3m1,Tm2SO2,-3.48666,OptB88vdW,3.208
20414,JVASP-107016,123,P4/mmm,ZnCdAu2,-0.20903,OptB88vdW,0
20415,JVASP-105291,189,P-62m,HoMgAg,-0.30816,OptB88vdW,0
20416,JVASP-16217,194,P6_3/mmc,V2GeC,-0.49749,OptB88vdW,0
20417,JVASP-1660,166,R-3m,RbSmS2,-2.0149,OptB88vdW,2.261
20418,JVASP-13333,82,I-4,Nd5AgSe8,-1.76477,OptB88vdW,1.462
20419,JVASP-12880,84,P4_2/m,NaSbCl6,-0.99048,OptB88vdW,1.86
20420,JVASP-104695,187,P-6m2,SmMnCo3Cu,-0.04679,OptB88vdW,0
20421,JVASP-106408,225,Fm-3m,K3SbBr6,-1.29663,OptB88vdW,2.864
20422,JVASP-1234,99,P4mm,BaTiO3,-3.35196,OptB88vdW,1.749
20423,JVASP-102581,225,Fm-3m,Y2TlIn,-0.47026,OptB88vdW,0
20424,JVASP-101997,14,P2_1/c,H10C5O2,-0.33077,OptB88vdW,5.069
20425,JVASP-105364,69,Fmmm,TiMo2,-0.08335,OptB88vdW,0
20426,JVASP-58153,162,P-31m,BaCaTi4O8,-2.98247,OptB88vdW,0
20427,JVASP-104591,225,Fm-3m,LiMg2In,-0.19651,OptB88vdW,0
20428,JVASP-104970,160,R3m,BaSrN,-0.65574,OptB88vdW,0
20429,JVASP-14074,156,P3m1,LiMnSe2,-0.57608,OptB88vdW,0
20430,JVASP-102628,139,I4/mmm,TbP2Pd2,-0.9164,OptB88vdW,0
20431,JVASP-103818,1,P1,H4C10S3O,0.07222,OptB88vdW,0.999
20432,JVASP-49856,14,P2_1/c,K2Be2O3,-2.30046,OptB88vdW,3.686
20433,JVASP-14908,139,I4/mmm,ZrSi2Ni2,-0.76256,OptB88vdW,0
20434,JVASP-107071,10,P2/m,CoNi2S4,-0.41349,OptB88vdW,0
20435,JVASP-107686,225,Fm-3m,Pm2MgRu,-0.13553,OptB88vdW,0
20436,JVASP-107348,25,Pmm2,Er2Si3,-0.58052,OptB88vdW,0
20437,JVASP-101885,1,P1,SnH4C3O6,-0.929,OptB88vdW,3.44
20438,JVASP-106796,166,R-3m,InPt,-0.25793,OptB88vdW,0
20439,JVASP-51235,225,Fm-3m,BaNbTc2,0.92452,OptB88vdW,0
20440,JVASP-28967,156,P3m1,Te2MoW3Se2S4,-0.54751,OptB88vdW,0.202
20441,JVASP-104754,71,Immm,Ce3GeS2,-1.75716,OptB88vdW,0
20442,JVASP-106746,115,P-4m2,Sm2O3,-3.45121,OptB88vdW,1.568
20443,JVASP-105530,166,R-3m,CeNdS2,-2.20636,OptB88vdW,0
20444,JVASP-21240,63,Cmcm,SrHfO3,-3.66645,OptB88vdW,4.062
20445,JVASP-103883,1,P1,TiH18C10O4,-0.40268,OptB88vdW,1.442
20446,JVASP-104010,2,P-1,SnH12C6F2,-0.36836,OptB88vdW,4.363
20447,JVASP-107186,225,Fm-3m,LiMg2Au,-0.54397,OptB88vdW,0
20448,JVASP-2493,121,I-42m,ZnCu2GeS4,-0.51187,OptB88vdW,0.325
20449,JVASP-107637,141,I4_1/amd,AgBiS2,-0.28353,OptB88vdW,0.261
20450,JVASP-107239,187,P-6m2,ZnCo,0.03672,OptB88vdW,0
20451,JVASP-2589,15,C2/c,BaSe2,-1.46416,OptB88vdW,0.684
20452,JVASP-104810,225,Fm-3m,K2LaCuCl6,-1.85655,OptB88vdW,2.155
20453,JVASP-101923,1,P1,ZnH16C10O4,-0.39198,OptB88vdW,4.565
20454,JVASP-106691,166,R-3m,ZnCu3,-0.02764,OptB88vdW,0
20455,JVASP-15586,164,P-3m1,CaMn2As2,-0.46778,OptB88vdW,0
20456,JVASP-102530,221,Pm-3m,MgAu3,-0.43152,OptB88vdW,0
20457,JVASP-102842,65,Cmmm,Li3MnO4,-2.0351,OptB88vdW,0
20458,JVASP-105093,121,I-42m,Cu2GeS4,-0.28142,OptB88vdW,0
20459,JVASP-2256,122,I-42d,ZnSiAs2,-0.18166,OptB88vdW,0.881
20460,JVASP-19081,167,R-3c,KBO2,-2.4742,OptB88vdW,4.461
20461,JVASP-106966,225,Fm-3m,MgSnRu2,-0.11259,OptB88vdW,0
20462,JVASP-107139,225,Fm-3m,Rb2NaTlBr6,-1.28787,OptB88vdW,0.723
20463,JVASP-13337,74,Imma,TiCo2O4,-1.83142,OptB88vdW,0
20464,JVASP-106409,225,Fm-3m,K3InCl6,-1.67144,OptB88vdW,3.577
20465,JVASP-18569,191,P6/mmm,PrAl3Ni2,-0.6251,OptB88vdW,0
20466,JVASP-106856,160,R3m,LiTiO2,-2.78988,OptB88vdW,0
20467,JVASP-107461,225,Fm-3m,LiZnCd2,-0.19312,OptB88vdW,0
20468,JVASP-104755,166,R-3m,BaSrO2,-2.88269,OptB88vdW,2.764
20469,JVASP-102787,115,P-4m2,Ce2CdSb4,-0.71992,OptB88vdW,0
20470,JVASP-12127,14,P2_1/c,VOF3,-2.72616,OptB88vdW,3.138
20471,JVASP-2373,82,I-4,Ga2HgSe4,-0.44452,OptB88vdW,0.872
20472,JVASP-42352,60,Pbcn,HfCrO4,-2.87844,OptB88vdW,0
20473,JVASP-102730,123,P4/mmm,LaCePd6,-0.87315,OptB88vdW,0
20474,JVASP-48307,2,P-1,Li2FeP4O12,-2.16168,OptB88vdW,0.612
20475,JVASP-15472,139,I4/mmm,SmSi2Pt2,-0.97915,OptB88vdW,0
20476,JVASP-18719,194,P6_3/mmc,ThHg3,-0.08632,OptB88vdW,0
20477,JVASP-105134,221,Pm-3m,Cd3Ir,0.06411,OptB88vdW,0
20478,JVASP-106921,225,Fm-3m,Rb2HgAsI6,-0.71357,OptB88vdW,0
20479,JVASP-44445,95,P4_322,LiNbCrO4,-2.29783,OptB88vdW,0
20480,JVASP-15419,194,P6_3/mmc,Zr2SnC,-0.84477,OptB88vdW,0
20481,JVASP-106624,225,Fm-3m,Yb2MgTl,-0.33612,OptB88vdW,0
20482,JVASP-2817,12,C2/m,K4IrO4,-1.4136,OptB88vdW,0.308
20483,JVASP-102582,221,Pm-3m,Y3Si,-0.2832,OptB88vdW,0
20484,JVASP-104696,44,Imm2,Sm2Si3Pd,-0.8323,OptB88vdW,0
20485,JVASP-104923,123,P4/mmm,TaNbAl6,-0.38095,OptB88vdW,0
20486,JVASP-52224,65,Cmmm,LiCu5F12,-1.77869,OptB88vdW,0
20487,JVASP-102629,109,I4_1md,ThSiIr,-1.06083,OptB88vdW,0
20488,JVASP-104554,225,Fm-3m,AlGaRu2,-0.44977,OptB88vdW,0
20489,JVASP-102674,42,Fmm2,TaNbV,0.04344,OptB88vdW,0
20490,JVASP-107511,69,Fmmm,TlPdPb,-0.16493,OptB88vdW,0
20491,JVASP-107072,119,I-4m2,CeGa3Ni,-0.52725,OptB88vdW,0
20492,JVASP-105292,225,Fm-3m,K2SnF6,-2.84205,OptB88vdW,5.325
20493,JVASP-106797,166,R-3m,Ir4W,-0.08043,OptB88vdW,0
20494,JVASP-107017,6,Pm,Zr2Se3S3,-1.2115,OptB88vdW,0.55
20495,JVASP-106518,221,Pm-3m,ErCuO3,-2.0154,OptB88vdW,0
20496,JVASP-105447,38,Amm2,Mn3B4Mo3,-0.3855,OptB88vdW,0
20497,JVASP-107687,225,Fm-3m,Pm2RuPt,-0.67681,OptB88vdW,0
20498,JVASP-107573,121,I-42m,Cd2GaCuTe4,-0.32718,OptB88vdW,0.167
20499,JVASP-105231,225,Fm-3m,PaInPd2,-0.58833,OptB88vdW,0
20500,JVASP-13066,19,P2_12_12_1,IO2F,-0.74086,OptB88vdW,2.765
20501,JVASP-42486,3,P2,LiNbTe3O12,-1.39571,OptB88vdW,1.56
20502,JVASP-107400,225,Fm-3m,Na2PdAuF6,-1.67893,OptB88vdW,0
20503,JVASP-104818,225,Fm-3m,Rb2NdAgI6,-1.2312,OptB88vdW,2.626
20504,JVASP-106482,225,Fm-3m,Al2FeRh,-0.71314,OptB88vdW,0
20505,JVASP-105531,123,P4/mmm,CeThCN,-1.0618,OptB88vdW,0
20506,JVASP-18603,225,Fm-3m,ErInAu2,-0.73864,OptB88vdW,0
20507,JVASP-106564,187,P-6m2,MgPb2,-0.02431,OptB88vdW,0
20508,JVASP-107140,225,Fm-3m,Rb3BiBr6,-1.38027,OptB88vdW,3.385
20509,JVASP-106747,119,I-4m2,Sm2P3Pt4,-1.09146,OptB88vdW,0
20510,JVASP-106969,221,Pm-3m,NpHgO3,-2.20407,OptB88vdW,0
20511,JVASP-106411,225,Fm-3m,K3AsBr6,-1.23397,OptB88vdW,2.907
20512,JVASP-103948,1,P1,ZrH10C7O4,-0.54204,OptB88vdW,3.01
20513,JVASP-13339,122,I-42d,Nd2CdSe4,-1.50261,OptB88vdW,1.023
20514,JVASP-48139,14,P2_1/c,LiNiCO4,-1.45286,OptB88vdW,0.372
20515,JVASP-14736,191,P6/mmm,SmGa2,-0.68518,OptB88vdW,0
20516,JVASP-106857,166,R-3m,Rb3BiF6,-2.66373,OptB88vdW,4.558
20517,JVASP-16033,123,P4/mmm,BaP2Pd2,-0.80841,OptB88vdW,0
20518,JVASP-104861,221,Pm-3m,NaHg3,-0.0484,OptB88vdW,0
20519,JVASP-28456,187,P-6m2,MoW2Se6,-0.56018,OptB88vdW,1.14
20520,JVASP-3999,166,R-3m,Na4HgP2,-0.37662,OptB88vdW,0.942
20521,JVASP-107187,221,Pm-3m,LiPrO3,-2.18096,OptB88vdW,0
20522,JVASP-15724,221,Pm-3m,SrNbO3,-3.01111,OptB88vdW,0
20523,JVASP-15522,139,I4/mmm,DyCo2B2,-0.59803,OptB88vdW,0
20524,JVASP-102788,71,Immm,Ce3SiS2,-1.69149,OptB88vdW,0
20525,JVASP-107240,194,P6_3/mmc,Yb3Mg,-0.02833,OptB88vdW,0
20526,JVASP-106922,225,Fm-3m,Rb2ScAuCl6,-1.73141,OptB88vdW,1.947
20527,JVASP-44061,11,P2_1/m,Li2FeBPO7,-2.10571,OptB88vdW,0
20528,JVASP-104924,123,P4/mmm,SrCa,-0.0088,OptB88vdW,0
20529,JVASP-19082,12,C2/m,BaTi2O5,-3.32517,OptB88vdW,1.881
20530,JVASP-102531,221,Pm-3m,MgNb3,0.22899,OptB88vdW,0
20531,JVASP-14909,164,P-3m1,TlCdS2,-0.36892,OptB88vdW,0
20532,JVASP-15771,225,Fm-3m,TiAlNi2,-0.63998,OptB88vdW,0
20533,JVASP-1169,225,Fm-3m,ThO2,-4.1762,OptB88vdW,4.823
20534,JVASP-104161,1,P1,H3C3S2N,0.13551,OptB88vdW,0.58
20535,JVASP-104646,225,Fm-3m,ZnSiNi2,-0.31002,OptB88vdW,0
20536,JVASP-16915,122,I-42d,FeS2,-0.27792,OptB88vdW,0
20537,JVASP-1663,166,R-3m,TbRbS2,-2.03627,OptB88vdW,2.309
20538,JVASP-15375,139,I4/mmm,SrAs2Ru2,-0.65373,OptB88vdW,0
20539,JVASP-52907,74,Imma,MgH6N2Cl2,-0.84572,OptB88vdW,4.997
20540,JVASP-101962,1,P1,CdH14C9O4,-0.3404,OptB88vdW,2.315
20541,JVASP-107512,44,Imm2,TmUTe4,-0.96762,OptB88vdW,0
20542,JVASP-107688,221,Pm-3m,Pm3Ti,0.22037,OptB88vdW,0
20543,JVASP-104971,121,I-42m,BeZn3O4,-1.93387,OptB88vdW,1.665
20544,JVASP-103702,227,Fd-3m,LiSi,0.05009,OptB88vdW,0
20545,JVASP-15055,225,Fm-3m,Ga2Au,-0.21871,OptB88vdW,0
20546,JVASP-105295,139,I4/mmm,Rb3NdF6,-3.32057,OptB88vdW,4.508
20547,JVASP-107141,225,Fm-3m,K2RbMoBr6,-1.25512,OptB88vdW,1.377
20548,JVASP-106798,166,R-3m,InSnTe2,-0.30686,OptB88vdW,0
20549,JVASP-44474,64,Cmce,Li2Ni2BiO6,-1.2706,OptB88vdW,0
20550,JVASP-105232,225,Fm-3m,Pm2CdPb,-0.47236,OptB88vdW,0
20551,JVASP-13340,15,C2/c,Li2TiO3,-2.85572,OptB88vdW,2.497
20552,JVASP-105448,160,R3m,Mn2CuSb2Pd,0.00018,OptB88vdW,0
20553,JVASP-105094,122,I-42d,CoGeAs2,0.02316,OptB88vdW,0
20554,JVASP-106412,225,Fm-3m,K2NaBiBr6,-1.34716,OptB88vdW,3.076
20555,JVASP-106565,221,Pm-3m,Na3Mg,0.0324,OptB88vdW,0
20556,JVASP-15629,189,P-62m,ZrAlNi,-0.67729,OptB88vdW,0
20557,JVASP-14094,58,Pnnm,OsN2,0.3972,OptB88vdW,0
20558,JVASP-58188,162,P-31m,BaTi4O8,-2.98188,OptB88vdW,0
20559,JVASP-15807,164,P-3m1,SrZn2Sb2,-0.52103,OptB88vdW,0
20560,JVASP-2592,217,I-43m,TaTl3S4,-0.7643,OptB88vdW,2.654
20561,JVASP-50970,136,P4_2/mnm,BaSr2I6,-1.75622,OptB88vdW,3.748
